timestamp,username,action,details
2025-11-08 23:40:00,admin3201,LOGIN,Admin 'admin3201' berhasil login.
2025-11-08 23:40:22,admin3201,UPDATE,"Memperbarui baris (id: 217, wilayah: KABUPATEN BOGOR). Perubahan: {'jumlah_kasus': 3405}"
2025-11-08 23:40:29,admin3201,LOGOUT,Admin 'admin3201' logout.
2025-11-08 23:40:32,masteradmin,LOGIN,Admin 'masteradmin' berhasil login.
2025-11-09 00:05:14,masteradmin,LOGIN,Admin 'masteradmin' berhasil login.
2025-11-09 00:05:24,masteradmin,LOGOUT,Admin 'masteradmin' logout.
2025-11-09 00:07:35,masteradmin,LOGIN,Admin 'masteradmin' berhasil login.
2025-11-09 00:07:43,masteradmin,LOGOUT,Admin 'masteradmin' logout.
2025-11-09 13:26:02,masteradmin,LOGIN,Admin 'masteradmin' berhasil login.
2025-11-09 13:26:25,masteradmin,LOGOUT,Admin 'masteradmin' logout.
2025-11-09 13:26:30,admin3201,LOGIN,Admin 'admin3201' berhasil login.
2025-11-09 13:26:45,admin3201,LOGOUT,Admin 'admin3201' logout.
2025-11-09 13:49:03,user,LOGIN,Pengguna 'user' (User) berhasil login.
2025-11-09 13:49:40,user,LOGOUT,Pengguna 'user' logout.
2025-11-09 13:49:50,masteradmin,LOGIN,Admin 'masteradmin' berhasil login.
2025-11-09 13:50:03,masteradmin,LOGOUT,Pengguna 'masteradmin' logout.
2025-11-09 13:50:11,user,LOGIN,Pengguna 'user' (User) berhasil login.
2025-11-09 14:00:04,user,LOGIN,Pengguna 'user' (User) berhasil login.
2025-11-09 14:06:38,user,LOGIN,Pengguna 'user' (User) berhasil login.
2025-11-09 14:13:54,user,LOGIN,Pengguna 'user' (User) berhasil login.
2025-11-09 14:14:32,user,LOGIN,Pengguna 'user' (User) berhasil login.
2025-11-09 14:16:03,user,LOGIN,Pengguna 'user' (User) berhasil login.
2025-11-09 14:18:53,user,LOGIN,Pengguna 'user' (User) berhasil login.
2025-11-09 14:23:25,guest,LOGIN,Pengguna 'guest' berhasil login.
2025-11-09 14:23:34,guest,LOGIN,Pengguna 'guest' berhasil login.
2025-11-09 14:28:24,guest,LOGIN,Pengguna 'guest' berhasil login.
2025-11-09 14:30:11,guest,LOGIN,Pengguna 'guest' berhasil login.
2025-11-09 14:30:47,guest,LOGIN,Pengguna 'guest' berhasil login.
2025-11-09 14:31:02,guest,LOGIN,Pengguna 'guest' berhasil login.
2025-11-09 14:31:18,guest,LOGIN,Pengguna 'guest' berhasil login.
2025-11-09 14:35:46,guest,LOGIN,Pengguna 'guest' berhasil login.
2025-11-09 14:45:16,guest,LOGIN,Pengguna 'guest' berhasil login.
