id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,jumlah_kasus,satuan,tahun
2,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,854,ORANG,2016
3,32,JAWA BARAT,3203,KABUPATEN CIANJUR,799,ORANG,2016
4,32,JAWA BARAT,3204,KABUPATEN BANDUNG,3466,ORANG,2016
5,32,JAWA BARAT,3205,KABUPATEN GARUT,561,ORANG,2016
6,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,478,ORANG,2016
7,32,JAWA BARAT,3207,KABUPATEN CIAMIS,748,ORANG,2016
8,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,1720,ORANG,2016
9,32,JAWA BARAT,3209,KABUPATEN CIREBON,1877,ORANG,2016
10,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,322,ORANG,2016
11,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,944,ORANG,2016
12,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,911,ORANG,2016
13,32,JAWA BARAT,3213,KABUPATEN SUBANG,699,ORANG,2016
14,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,772,ORANG,2016
15,32,JAWA BARAT,3215,KABUPATEN KARAWANG,1059,ORANG,2016
16,32,JAWA BARAT,3216,KABUPATEN BEKASI,1802,ORANG,2016
17,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,1545,ORANG,2016
18,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,137,ORANG,2016
19,32,JAWA BARAT,3271,KOTA BOGOR,1229,ORANG,2016
20,32,JAWA BARAT,3272,KOTA SUKABUMI,844,ORANG,2016
21,32,JAWA BARAT,3273,KOTA BANDUNG,3881,ORANG,2016
22,32,JAWA BARAT,3274,KOTA CIREBON,310,ORANG,2016
23,32,JAWA BARAT,3275,KOTA BEKASI,3813,ORANG,2016
24,32,JAWA BARAT,3276,KOTA DEPOK,2827,ORANG,2016
25,32,JAWA BARAT,3277,KOTA CIMAHI,1080,ORANG,2016
26,32,JAWA BARAT,3278,KOTA TASIKMALAYA,754,ORANG,2016
27,32,JAWA BARAT,3279,KOTA BANJAR,370,ORANG,2016
29,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,256,ORANG,2017
30,32,JAWA BARAT,3203,KABUPATEN CIANJUR,0,ORANG,2017
